lot_no,artist,title,year_birth,year_death,price_sold,estimate,signature,medium,dim_0,dim_1,year_creation,provenence,image_url
337,Honoré Daumier,Une ronde d'enfants (Enfants dansant en rond—Ronde de jeunes filles),1808,1879,"USD 250,000","USD 200,000 - USD 300,000",N.A.,oil and charcoal on cradled panel,26.9,21.6,Painted in 1850-1853,"
    Louis Lemaire, Paris (by 1878 and until at least 1927).
    
    Etienne Bignou, Paris (by 1928).
    
    Sir William Burrell, Glasgow.
    
    Wildenstein & Co., Inc., New York.
    
    A. Conger Goodyear, New York (by 1930).
    
    Dr. Stephen Goodyear, New York (by descent from the above).
    
    Wildenstein & Co., Inc., New York.
    
    Acquired by the family of the present owner, by 1968.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0337_000(honore_daumier_une_ronde_denfants).jpg?w=400
439,Georg Kolbe,Kniende,1877,1947,"USD 50,000","USD 40,000 - USD 60,000",signed with monogram (on the bottom of the left foot); stamped with foundry mark 'H.NOACK BERLIN' (on the ball of the left foot),bronze with brown patina,53.6,N.A.,Conceived in 1926,"
    Estate of the artist.
    
    Dalzell Hatfield Galleries, Los Angeles.
    
    Nanette Fabray, Los Angeles.
    
    Weintraub Gallery, New York.
    
    Acquired from the above by the family of the present owner, January 1980.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0439_000(georg_kolbe_kniende).jpg?w=400
340,Pierre-Auguste Renoir,Chemin aux Collettes avec tilleul,1841,1919,"USD 708,500","USD 500,000 - USD 700,000",N.A.,stamped with signature 'Renoir.' (Lugt 2137b; lower right),34,47,Painted   circa  1914,"
    Estate of the artist.
    
    Bernheim-Jeune et Cie., Paris.
    
    The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
    
    Acquired from the above by the late owner,
    
     circa
    
    1970.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0340_000(pierre-auguste_renoir_chemin_aux_collettes_avec_tilleul).jpg?w=400
481,Salvador Dalí,"L'oeil fleuri, décor pour le ballet Tristan fou",1904,1989,"USD 225,000","USD 150,000 - USD 250,000",N.A.,oil and tempera on joined canvas,164,189,Painted in 1944,"
    Marqués de Cuevas (acquired from the artist, 1944).
    
    Margaret Rockefeller de Cuevas (by descent from the above).
    
    Raymundo Larrain, Santiago (by descent from the above, 1976).
    
    By descent from the above to the present owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0481_000(salvador_dali_loeil_fleuri_decor_pour_le_ballet_tristan_fou).jpg?w=400
317,Raoul Dufy,La flotte à Villefranche,1877,1953,"USD 348,500","USD 120,000 - USD 180,000",signed 'Raoul Dufy' (lower right),oil on canvas,65.1,80.9,Painted   circa  1926,"
    Mr. and Mrs. Peter A. Rübel, New York.
    
    The Museum of Modern Art, New York (gift from the above, 1950).
    
    Perls Galleries, New York (acquired from the above, November 1953).
    
    Werner and Margaret Josten, New York (acquired from the above, by 1975).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0317_000(raoul_dufy_la_flotte_a_villefranche).jpg?w=400
497,Jules Pascin,Rebecca couchée,1885,1930,"USD 55,000","USD 40,000 - USD 60,000",signed 'pascin' (lower right),oil over pencil on canvas,73,92.3,Painted in 1927,"
    Galerie Marcel Bernheim, Paris (acquired from the artist, 1928).
    
    Pierre Blum, Paris (acquired from the above, 1952).
    
    Perls Galleries, New York.
    
    Private collection, Osaka.
    
    Anon. sale, Sotheby's, New York, 14 May 1998, lot 380.
    
    Peter Findlay Gallery, Inc., New York.
    
    Acquired from the above by the present owner, June 2011.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0497_000(jules_pascin_rebecca_couchee).jpg?w=400
301,Rembrandt Bugatti,Deux petits léopards l'un derrière l'autre,1884,1916,"USD 552,500","USD 300,000 - USD 500,000","signed, numbered and stamped with foundry mark 'R.Bugatti. (8) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",bronze with dark brown patina,38,64,Conceived   circa  1912,"
    Anon. sale, Ader Picard Tajan, Paris, 8 April 1989, lot 30.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0301_000(rembrandt_bugatti_deux_petits_leopards_lun_derriere_lautre).jpg?w=400
356,Gustave Loiseau,Triel sur Seine,1865,1935,"USD 43,750","USD 40,000 - USD 60,000",signed and dated 'G. Loiseau 1917' (lower right),oil on canvas,60.4,60.6,Painted in 1917,"
    Galerie Durand-Ruel et Cie., Paris (acquired from the artist, December 1919).
    
    M. and Mme Fauvet, Paris (June 1972).
    
    Charles Boisselier, Paris (November 1972).
    
    Galerie Durand-Ruel et Cie., Paris (acquired from the above, February 1973).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0356_000(gustave_loiseau_triel_sur_seine).jpg?w=400
454,Carlos Nadal,Bodegón,1917,1998,"USD 15,000","USD 15,000 - USD 20,000",signed 'cNadal' (lower right); signed again and titled 'cNadal Bodegon' (on the reverse),oil on canvas,39.5,47,N.A.,"
    Anon. (acquired from the artist,
    
     circa
    
    1995); sale, Christie's, New York, 14 September 2006, lot 13.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0454_000(carlos_nadal_bodegon).jpg?w=400
511,Henri Martin,L'église de Labastide,1860,1943,"USD 250,000","USD 200,000 - USD 300,000",signed 'Henri Martin' (lower center),oil on canvas,91.5,116.5,N.A.,"
    International Galleries (R. Stanley Johnson), Chicago.
    
    Acquired by the present owner,
    
     circa
    
    1972.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0511_000(henri_martin_leglise_de_labastide).jpg?w=400
403,Joan Miró,Femme,1893,1983,"USD 396,500","USD 250,000 - USD 350,000","signed, numbered and inscribed with foundry mark 'Miró 1/2 Parellada' (on the back)",bronze,60,N.A.,Conceived in 1970,"
    Pierre Matisse Gallery, New York.
    
    Acquired from the above by the family of the present owners, June 1983.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0403_000(joan_miro_femme).jpg?w=400
415,Vilmos Huszár,Composition abstraite,1884,1960,"USD 237,500","USD 10,000 - USD 15,000",signed with initials 'VH' (lower right),oil on panel in the artist's painted frame,42.3,38.9,Painted   circa  1918-1928,"
    Died Vissir, Hungary (possibly acquired from the artist).
    
    B.J. Teyinck, Schoonhoven, Netherlands (acquired from the above, 1931).
    
    Private collection, France; sale, Christie's, London, 29 November 1982, lot 45.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0415_000(vilmos_huszar_composition_abstraite).jpg?w=400
383,Édouard Vuillard,La Consultation,1868,1940,"USD 150,000","USD 200,000 - USD 300,000",signed 'E. Vuillard' (lower right),peinture à la colle  on card laid down on canvas,68.6,45.4,Painted in 1922,"
    Dr. Parvu, Paris (gift from the artist, March 1922).
    
    Jos. Hessel, Paris (
    
     circa
    
    1938).
    
    Galerie Alfred Daber, Paris (
    
     circa
    
    1947).
    
    Private collection, Paris.
    
    Galerie Bellier, Paris.
    
    Acquired from the above by the late owner, February 1987.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0383_000(edouard_vuillard_la_consultation).jpg?w=400
507,Auguste Rodin,"Buste de Clémenceau, 2ème impression",1840,1917,"USD 18,750","USD 20,000 - USD 30,000","signed 'A. Rodin' (on the right side); inscribed with foundry mark, inscribed and dated 'Georges.Rudier Fondeur.Paris © by Musée Rodin 1955' (on the back); with raised signature 'A. Rodin' (on the underside)",bronze with dark brown and green patina,48,N.A.,Conceived in 1911-1914; this bronze version cast in 1955,"
    Musée Rodin, Paris.
    
    World House Galleries, New York (acquired from the above, December 1955).
    
    Herbert Mayer, Greenwich.
    
    Joseph E. Levine; Estate sale, Sotheby's, New York, 14 May 1998, lot 405.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0507_000(auguste_rodin_buste_de_clemenceau_2eme_impression).jpg?w=400
443,Armand Guillaumin,Notre-Dame de Paris vue des quais,1841,1927,"USD 37,500","USD 18,000 - USD 25,000",signed 'Guillaumin' (lower left),oil on canvas,24,32.5,Painted   circa  1878,"
    Galerie Durand-Ruel et Cie., Paris.
    
    Camille Pissarro, Paris; Estate sale, Galerie Georges Petit, Paris, 3 December 1928, lot 81.
    
    Dennis Hotz Fine Art, South Africa.
    
    Private collection (acquired from the above, 1989).
    
    Acquired by the late owner,
    
     circa
    
    2006.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0443_000(armand_guillaumin_notre-dame_de_paris_vue_des_quais).jpg?w=400
506,Camille Pissarro,Gelée blanche à Eragny,1830,1903,"USD 250,000","USD 200,000 - USD 300,000",signed and dated 'C. Pissarro. 1902' (lower right),oil on canvas,41.5,33,Painted in 1902,"
    Estate of the artist.
    
    Paul-Emile Pissarro, Paris (by descent from the above, 1904).
    
    Jacques Georges Lévy, Paris (
    
     circa
    
    1935).
    
    Anon. sale, Hôtel Drouot, Paris, 5 November 1936, lot 98.
    
    Acquired by the family of the present owner,
    
     circa
    
    1960.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0506_000(camille_pissarro_gelee_blanche_a_eragny).jpg?w=400
382,Édouard Vuillard,La grande serviette,1868,1940,"USD 150,000","USD 200,000 - USD 300,000",N.A.,stamped with signature 'E. Vuillard' (Lugt 2497a; lower center),x,cm.),Painted   circa  1891-1892,"
    Estate of the artist.
    
    Arthur Tooth & Sons, Ltd., London.
    
    Private collection, London (acquired from the above, December 1957).
    
    Private collection, London (by descent from the above); sale, Christie's, London, 26 June 1995, lot 2.
    
    Galerie Hopkins-Thomas, Paris.
    
    Acquired from the above by the late owner, May 1996.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0382_000(edouard_vuillard_la_grande_serviette).jpg?w=400
402,Fernand Léger,Tête de femme (Figure II),1881,1955,"USD 948,500","USD 600,000 - USD 800,000",signed and dated 'F.LEGER.48' (lower right),oil on canvas,65,50,Painted in 1948,"
    Galerie Louis Carré & Cie., Paris.
    
    Sidney Janis Gallery, New York.
    
    Acquired from the above by the family of the present owner, 1949.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0402_000(fernand_leger_tete_de_femme).jpg?w=400
455,André Brasilier,Cavalcade portugaise,1929,N.A.,"USD 112,500","USD 50,000 - USD 70,000","signed 'André Brasilier.' (lower right); signed again with initials, dated and titled 'A.B. 81. Cavalcade portugaise' (on the stretcher)",oil on canvas,89,115.6,Painted in 1981,"
    Anon. sale, Christie's, New York, 22 September 2009, lot 66.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0455_000(andre_brasilier_cavalcade_portugaise).jpg?w=400
357,Gustave Loiseau,Petite barque de pêche sur la plage d’Etretat,1865,1935,"USD 81,250","USD 50,000 - USD 70,000",signed and dated 'G. Loiseau. 02' (lower left),oil on canvas,54.4,73.2,Painted in 1902,"
    Galerie Durand-Ruel et Cie., Paris (acquired from the artist, January 1904).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0357_000(gustave_loiseau_petite_barque_de_peche_sur_la_plage_detretat).jpg?w=400
496,Louis Valtat,"Vase à l'oiseau, crocus et tulipes",1869,1952,"USD 23,750","USD 10,000 - USD 15,000",signed 'L. Valtat' (lower right),oil on canvas,41,28.2,Painted in 1919,"
    Acquired by the late owner, 1971.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0496_000(louis_valtat_vase_a_loiseau_crocus_et_tulipes).jpg?w=400
479,Henry Moore,Armless Seated Figure against Round Wall,1898,1986,"USD 75,000","USD 60,000 - USD 80,000",N.A.,bronze with green and brown patina on stone base,28,N.A.,Conceived in 1957,"
    G. Blair Laing, Ltd., Toronto (acquired from the artist, 1958).
    
    Private collection, Toronto; sale, Christie's, New York, 6 November 1991, lot 315.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0479_000(henry_moore_armless_seated_figure_against_round_wall).jpg?w=400
316,Jules Pascin,Jeune fille pensive,1885,1930,"USD 50,000","USD 40,000 - USD 60,000",signed 'pascin' (lower right),oil and black Conté crayon on canvas,81.5,65,Executed in 1925,"
    Perls Galleries, New York.
    
    Mrs. Morris Wenger, Philadelphia.
    
    Anon. sale, Sotheby's, New York, 9 November 1995, lot 301.
    
    Irving Galleries, Palm Beach.
    
    Acquired from the above by the family of the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0316_000(jules_pascin_jeune_fille_pensive).jpg?w=400
341,Auguste Rodin,"Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête""",1840,1917,"USD 20,000","USD 12,000 - USD 18,000",signed 'A. Rodin' (on the top of the base); inscribed and dated '© by musée Rodin 1958' (on the right side of the base); inscribed with foundry mark 'Georges Rudier. .Fondeur. Paris.' (on the back of the base); with raised signature 'A. Rodin' (on the underside),bronze with dark brown patina,22.3,N.A.,Conceived in 1882; this bronze version cast in 1958,"
    Musée Rodin, Paris.
    
    Galerie Huguette Bérès, Paris (acquired from the above, March 1959).
    
    The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London (acquired from the above, 1959).
    
    Acquired from the above by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0341_000(auguste_rodin_nu_feminin_debout_dit_aussi_le_jour_le_jour_etude_sans_b).jpg?w=400
336,Henri Fantin-Latour,Fleurs de pommier,1836,1904,"USD 250,000","USD 100,000 - USD 150,000",signed and dated 'Fantin. 73.' (upper left),oil on canvas,30.5,25.7,Painted in 1873,"
    A.M. Heseltine, London.
    
    John P. Heseltine, London (by descent from the above); sale, Sotheby & Co., London, 27 May 1935, lot 33.
    
    Private collection, Scotland.
    
    The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
    
    Acquired from the above by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0336_000(henri_fantin-latour_fleurs_de_pommier).jpg?w=400
398,Jules Pascin,Fillette au chat (Portrait de Ruth Wood-Gaylor),1885,1930,"USD 47,500","USD 30,000 - USD 50,000","signed, dated, inscribed and dedicated 'to Wood-Gaylor pascin New York 1917.' (lower right)",oil over pencil on canvas,61.3,51.1,Painted in 1917,"
    Ruth Wood-Gaylor, New York (gift from the artist).
    
    Downtown Gallery, New York (1931).
    
    Jean Mauzé, New York (by 1959).
    
    By descent from the above to the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0398_000(jules_pascin_fillette_au_chat).jpg?w=400
377,Pierre Bonnard,Jeune femme au chapeau noir,1867,1947,"USD 792,500","USD 400,000 - USD 600,000",N.A.,stamped with signature 'Bonnard' (Lugt 3886; upper left),59,55.7,Painted   circa  1910,"
    Estate of the artist.
    
    Wildenstein & Co., Inc., New York.
    
    Sydney F. Barlow, Beverly Hills; sale, Sotheby Parke Bernet, Inc., New York, 17 May 1978, lot 45.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0377_000(pierre_bonnard_jeune_femme_au_chapeau_noir).jpg?w=400
459,André Brasilier,Les Miroirs,1929,N.A.,"USD 30,000","USD 20,000 - USD 30,000",signed 'André Brasilier.' (lower right),oil over pencil on canvas,65.4,50.3,Painted in 1982,"
    Galerie Nichido, Tokyo.
    
    Private collection, Japan (acquired from the above, 1983).
    
    Acquired from the above by the present owner.
    

",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0459_000(andre_brasilier_les_miroirs).jpg?w=400
320,Raoul Dufy,"L'Hôtel Suisse à Nice et le tournant de ""Rauba Capeu""",1877,1953,"USD 187,500","USD 100,000 - USD 150,000",signed 'Raoul Dufy' (lower left),oil on canvas,38,46.1,Painted   circa  1927,"
    Galerie de l'Elysée (Alex Maguy), Paris.
    
    Dalzell Hatfield Galleries, Los Angeles.
    
    Mrs. H.W. Armstrong, Santa Barbara (acquired from the above, by 1961).
    
    Anon. sale, Sotheby Parke Bernet, Inc., New York, 16 May 1979, lot 266.
    
    Acquired at the above sale by the family of the present owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0320_000(raoul_dufy_lhotel_suisse_a_nice_et_le_tournant_de_rauba_capeu).jpg?w=400
422,Maurice Denis,Acis et Galatée,1870,1943,"USD 18,750","USD 15,000 - USD 20,000",signed and dated 'MAVRICE DENIS 1927' (lower left); signed again and dedicated 'Au Dr Lesné de l'Académie de Médecine son bien reconnaissant M. Denis' (lower right),oil on board laid down on board,50.5,37.5,Painted in 1924-1927,"
    Dr. Lesné, Paris (gift from the artist).
    
    Pierre Zizine, Paris.
    
    Private collection, South Africa.
    
    Meserve Coale Gallery, Greenwich, Connecticut.
    
    Acquired from the above by the present owner, September 2001.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0422_000(maurice_denis_acis_et_galatee).jpg?w=400
530,Camille Bombois,Deux enfants jouant dans la forêt,1883,1970,"USD 40,000","USD 15,000 - USD 20,000",signed 'Bombois. C.lle' (lower right),oil on canvas,60,73.3,Painted   circa  1926,"
    Galerie Bing, Paris (1952).
    
    Dr. Franz Meyer, Switzerland.
    
    Mrs. Marguerite-Meyer-Malher, Switzerland.
    
    Dr. A.H. Jenny, Switzerland.
    
    Anon. sale, Christie's, New York, 22 September 2009, lot 126.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0530_000(camille_bombois_deux_enfants_jouant_dans_la_foret).jpg?w=400
475,Max Ernst,Drapeau,1891,1976,"USD 16,250","USD 12,000 - USD 18,000",signed and titled 'max ernst DRAPEAU' (on the artist's mount),oil on linen laid down on card,21,23.8,Painted in 1967,"
    Galerie Alexander Iolas, Geneva.
    
    Galerie Alphonse Chave, Vence (by 1968).
    
    Paolo Marinotti, Milan.
    
    Galleria Tega, Milan (by 2007).
    
    Anon. sale, Christie's, London, 29 April 2009, lot 123.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0475_000(max_ernst_drapeau).jpg?w=400
526,Eugène Boudin,"Le quai de Camaret, Pêcheur attendant la marée",1824,1898,"USD 175,000","USD 100,000 - USD 150,000",signed and dated 'E. Boudin 73' (lower left) and inscribed 'Camaret -' (lower right),oil on canvas,36.8,58.4,Painted in 1873,"
    Galerie Bernheim-Jeune et Cie., Paris.
    
    Louis Bernard, Paris; sale, Hôtel Drouot, Paris, 11 May 1901, lot 7.
    
    Théodore Révillon, Paris (acquired at the above sale); sale, Galerie Georges Petit, Paris, 8 May 1924, lot 11.
    
    Emile Bernheim, Paris.
    
    Galerie Georges Petit, Paris.
    
    Galerie Schmit, Paris.
    
    The Armand Hammer Foundation, Los Angeles (acquired from the above, by 1968).
    
    Hammer Galleries, New York (acquired from the above).
    
    Acquired from the above by the present owner, May 2007.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0526_000(eugene_boudin_le_quai_de_camaret_pecheur_attendant_la_maree).jpg?w=400
463,Bernard Buffet,Les Dahlias,1928,1999,"USD 212,500","USD 120,000 - USD 180,000",signed and dated 'Bernard Buffet 62' (lower left); signed again 'Bernard Buffet' (on the reverse),oil on canvas,116,81,Painted in 1962,"
    Galerie de Souzy, Paris.
    
    Private collection, Europe (acquired from the above, 2009); sale, Sotheby's, London, 22 June 2016, lot 199.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0463_000(bernard_buffet_les_dahlias).jpg?w=400
487,Massimo Campigli,Donna con collina,1895,1971,"USD 15,000","USD 15,000 - USD 25,000",signed 'CAMPIGLI' (lower right),oil on canvasboard,24.8,25,N.A.,"
    Dr. Charles U. and Eileen Josten Lowe, Cambridge, Massachusetts.
    
    Eileen Josten Lowe, Brooklyn.
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0487_000(massimo_campigli_donna_con_collina).jpg?w=400
468,Henry Moore,Maquette for Mother and Child: Block Seat,1898,1986,"USD 60,000","USD 50,000 - USD 70,000",signed and numbered 'Moore 8/9' (on the back of the base),bronze with brown patina,17.8,N.A.,Conceived in 1981,"
    Lillian Heidenberg Gallery, New York.
    
    Kent Fine Art, Inc., New York.
    
    Acquired from the above by the late owners, July 1986.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0468_000(henry_moore_maquette_for_mother_and_child_block_seat).jpg?w=400
311,Léonard Tsuguharu Foujita,La fillette au ciel bleu,1886,1968,"USD 137,500","USD 100,000 - USD 150,000",signed 'Foujita' (lower left); signed again 'Foujita' (on the stretcher),oil on canvas,24.2,19.1,Painted in 1954,"
    Galerie J.M. Bernard, Paris (acquired from the artist, 1954).
    
    Private collection, Unites States (acquired from the above).
    
    Private collection, United States (by descent from the above); sale, Sotheby's, New York, 3 November 2011, lot 349.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0311_000(leonard_tsuguharu_foujita_la_fillette_au_ciel_bleu).jpg?w=400
491,Chaïm Soutine,Nature morte au poisson,1893,1943,"USD 612,500","USD 500,000 - USD 700,000",signed 'Soutine' (lower left),oil on canvas,46.3,73.3,Painted   circa  1922,"
    Isucher Ber Frydman, Paris.
    
    Acquired by the family of the present owner,
    
     circa
    
    1970.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0491_000(chaim_soutine_nature_morte_au_poisson).jpg?w=400
307,Rembrandt Bugatti,Brebis mérinos,1884,1916,"USD 225,000","USD 60,000 - USD 80,000","signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",bronze with dark brown patina,19,43,Conceived   circa  1912,"
    Acquired by the present owner, by 1990.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0307_000(rembrandt_bugatti_brebis_merinos).jpg?w=400
429,Aristide Maillol,Léda,1861,1944,"USD 162,500","USD 150,000 - USD 200,000",signed with monogram and inscribed with foundry mark '.Alexis Rudier. .Fondeur. Paris.' (on the back),bronze with dark brown patina,28.2,N.A.,Conceived in 1900; this bronze version cast during the artist's lifetime,"
    Buchholz Gallery (Curt Valentin), New York.
    
    Private collection, Minneapolis.
    
    Jane Wade, Ltd., New York.
    
    Acquired from the above by the late owners, January 1972.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0429_000(aristide_maillol_leda).jpg?w=400
350,Albert André,"Dans le parc, bord de la Seine",1869,1954,"USD 32,500","USD 30,000 - USD 50,000",N.A.,oil on burlap,72.5,91.5,Painted in 1903-1905,"
    Hirschl & Adler Galleries, Inc., New York.
    
    Acquired from the above by the late owner, November 1958.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0350_000(albert_andre_dans_le_parc_bord_de_la_seine).jpg?w=400
452,Maximilien Luce,"Eragny, Les Meules",1858,1941,"USD 72,500","USD 30,000 - USD 50,000","signed, dated, and dedicated 'A l'ami P. Rousseau votre devoue Luce 97' (lower left)",oil on board,34.3,50.8,Painted in 1897,"
    P. Rousseau (acquired from the artist).
    
    Private collection; sale, Sotheby's, New York, 4 May 2005, lot 127.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0452_000(maximilien_luce_eragny_les_meules).jpg?w=400
517,Marie Laurencin,Tête de femme,1883,1956,"USD 56,250","USD 30,000 - USD 40,000",signed 'Marie Laurencin' (upper left),oil on canvas,33,41,Painted   circa  1936-1938,"
    Galerie Bénézit, Paris.
    
    Acquired from the above by the late owners, 1961.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0517_000(marie_laurencin_tete_de_femme).jpg?w=400
405,Max Ernst,Ohne titel,1891,1976,"USD 81,250","USD 70,000 - USD 100,000",signed 'max ernst' (lower right); signed again and dedicated 'A HANS RICHTER amicalement MAX ERNST' (on the reverse),oil on canvas,17.5,25.4,Painted in 1948,"
    Hans and Frida Richter, Southbury, Connecticut (gift from the artist, 1948).
    
    Private collection (by descent from the above); sale, Christie's, New York, 5 May 2004, lot 200.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0405_000(max_ernst_ohne_titel).jpg?w=400
540,Jean Dufy,"Salle Gaveau, le grand orchestre",1888,1964,"USD 250,000","USD 60,000 - USD 80,000",signed and dated 'Jean Dufy 29' (lower right),oil on canvas,89.3,130.2,Painted in 1929,"
    Private collection, Chicago; sale, Christie's, New York, 9 May 2000, lot 225.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0540_000(jean_dufy_salle_gaveau_le_grand_orchestre).jpg?w=400
393,Giacomo Manzù,Guerriero in piedi,1908,1991,"USD 12,500","USD 20,000 - USD 30,000",N.A.,stamped with signature 'MANZÙ' (on the right side of the base),50,(127,N.A.,"
    Private collection, Los Angeles; sale, Sotheby's, New York, 11 May 2000, lot 90A.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0393_000(giacomo_manz_guerriero_in_piedi).jpg?w=400
413,Barbara Hepworth,Two Forms (Orkney),1903,1975,"USD 187,500","USD 200,000 - USD 300,000","signed, dated, numbered and stamped with foundry mark 'Barbara Hepworth 1967 3/9 MS' (on a plaque on the underside)",polished bronze with original wooden base,including,N.A.,Conceived and cast in 1967,"
    Mr. and Mrs. A. Harvey (acquired from the artist, May 1967).
    
    Anon. sale, Sotheby's, New York, 7 October 1988, lot 169.
    
    New Art Centre & Gimpel Fils, London (acquired at the above sale).
    
    Mr. and Mrs. Fried, United States (acquired from the above, August 1989); sale, Sotheby's, London, 26 June 2008, lot 390.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0413_000(barbara_hepworth_two_forms).jpg?w=400
385,Maurice Denis,La dune rose,1870,1943,"USD 60,000","USD 25,000 - USD 35,000",N.A.,bears monogram (lower left),38,46.2,Painted in 1899,"
    Dominique Denis, France (son of the artist).
    
    Galerie La Cave, Paris (acquired from the above,
    
     circa
    
    1980).
    
    Hirschl & Adler Galleries, Inc., New York (acquired from the above).
    
    Acquired from the above by the late owner, September 1981.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0385_000(maurice_denis_la_dune_rose).jpg?w=400
444,Francis Picabia,Martigues,1879,1953,"USD 87,500","USD 70,000 - USD 100,000","signed, dated and titled 'Picabia 1902 Martigues' (lower right)",oil on canvas,38.5,46.4,Painted in 1902,"
    Galerie Pascal Lansberg, Paris.
    
    Anon. sale, Christie's, London, 10 December 1997, lot 140.
    
    Private collection, England (acquired at the above sale); sale, Sotheby's, New York, 3 November 2005, lot 409.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0444_000(francis_picabia_martigues).jpg?w=400
